meeting_key,race_name,driver_number,driver_name,practice_1,practice_2,practice_3,sprint_quali,sprint_race,qualifying,race
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,2,Logan SARGEANT,15,20,17,,,18,16
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,81,Oscar PIASTRI,12,14,14,,,16,8
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,22,Yuki TSUNODA,17,11,16,,,12,10
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,11,Sergio PEREZ,3,7,6,,,20,5
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,44,Lewis HAMILTON,2,13,8,,,3,2
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,10,Pierre GASLY,8,10,5,,,9,13
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,18,Lance STROLL,10,16,9,,,6,4
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,1,Max VERSTAPPEN,1,3,1,,,1,1
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,14,Fernando ALONSO,8,,,8,6,6,4
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,16,Charles LECLERC,2,,,1,2,1,3
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,63,George RUSSELL,17,,,4,4,11,8
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,23,Alexander ALBON,9,,,7,9,13,12
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,27,Nico HULKENBERG,15,,,12,15,17,17
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,21,Nyck DE VRIES,6,,,20,14,20,20
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,24,ZHOU Guanyu,10,,,16,12,16,19
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,77,Valtteri BOTTAS,13,,,17,16,14,18
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,31,Esteban OCON,18,,,13,18,12,15
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,20,Kevin MAGNUSSEN,20,,,14,11,18,13
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,55,Carlos SAINZ,4,,,5,5,4,5
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,4,Lando NORRIS,5,,,10,17,7,9
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,2,Logan SARGEANT,16,,,15,,15,16
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,81,Oscar PIASTRI,12,,,11,10,10,11
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,22,Yuki TSUNODA,14,,,18,19,8,10
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,11,Sergio PEREZ,3,,,2,1,3,1
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,44,Lewis HAMILTON,11,,,6,7,5,6
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,10,Pierre GASLY,19,,,19,13,19,14
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,18,Lance STROLL,7,,,9,8,9,7
1207,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,1,Max VERSTAPPEN,1,,,3,3,2,2
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,14,Fernando ALONSO,7,5,12,,,2,3
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,16,Charles LECLERC,3,3,2,,,7,7
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,63,George RUSSELL,1,15,10,,,6,4
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,23,Alexander ALBON,15,10,9,,,11,14
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,27,Nico HULKENBERG,9,17,8,,,12,15
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,21,Nyck DE VRIES,20,19,20,,,15,18
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,24,ZHOU Guanyu,17,13,15,,,14,16
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,77,Valtteri BOTTAS,14,14,7,,,10,13
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,31,Esteban OCON,10,9,5,,,8,9
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,20,Kevin MAGNUSSEN,13,12,11,,,4,10
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,55,Carlos SAINZ,5,2,4,,,3,5
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,4,Lando NORRIS,16,6,19,,,16,17
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,2,Logan SARGEANT,19,20,17,,,20,20
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,81,Oscar PIASTRI,12,16,18,,,19,19
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,22,Yuki TSUNODA,18,18,16,,,17,11
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,11,Sergio PEREZ,11,4,3,,,1,2
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,44,Lewis HAMILTON,2,7,13,,,13,6
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,10,Pierre GASLY,6,11,6,,,5,8
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,18,Lance STROLL,8,8,14,,,18,12
1208,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,1,Max VERSTAPPEN,4,1,1,,,9,1
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,14,Fernando ALONSO,2,4,14,,,2,2
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,16,Charles LECLERC,5,2,7,,,3,6
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,63,George RUSSELL,15,12,11,,,8,5
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,23,Alexander ALBON,10,19,18,,,13,14
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,27,Nico HULKENBERG,20,15,13,,,18,17
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,21,Nyck DE VRIES,16,17,20,,,12,12
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,24,ZHOU Guanyu,19,13,16,,,19,13
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,77,Valtteri BOTTAS,11,8,10,,,15,11
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,31,Esteban OCON,8,10,9,,,4,3
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,20,Kevin MAGNUSSEN,12,14,12,,,17,19
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,55,Carlos SAINZ,1,3,4,,,5,8
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,4,Lando NORRIS,7,5,5,,,10,9
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,2,Logan SARGEANT,18,20,17,,,16,18
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,81,Oscar PIASTRI,17,18,19,,,11,10
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,22,Yuki TSUNODA,13,16,15,,,9,15
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,11,Sergio PEREZ,4,7,2,,,20,16
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,44,Lewis HAMILTON,3,6,8,,,6,4
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,10,Pierre GASLY,14,9,6,,,7,7
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,18,Lance STROLL,9,11,3,,,14,20
1210,FORMULA 1 GRAND PRIX DE MONACO 2023,1,Max VERSTAPPEN,6,1,1,,,1,1
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,14,Fernando ALONSO,6,2,5,,,9,7
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,16,Charles LECLERC,8,6,7,,,19,11
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,63,George RUSSELL,10,8,6,,,12,3
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,23,Alexander ALBON,20,19,19,,,18,16
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,27,Nico HULKENBERG,18,3,14,,,8,15
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,21,Nyck DE VRIES,4,16,12,,,14,14
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,24,ZHOU Guanyu,13,13,11,,,13,9
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,77,Valtteri BOTTAS,16,9,8,,,16,19
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,31,Esteban OCON,3,5,16,,,7,8
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,20,Kevin MAGNUSSEN,7,15,17,,,17,18
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,55,Carlos SAINZ,9,7,4,,,2,5
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,4,Lando NORRIS,11,14,10,,,3,17
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,2,Logan SARGEANT,19,20,20,,,20,20
